,title,bid-amount,short-description
51,Senior Frontend Developer (React JS),"$527
                                (Avg Bid)","...apply new concepts, principles, and solutions
• Must have excellent communication skills (verbal and written)

Roles and Responsibilities

• Develop frontend architecture for web applications right from scratch while solving problems related to scalability, performance optimization, and fault tolerance
• Convert product specs to tech specs
• Write effective"
52,Solid React/WebGL/Three.js Developer for interactive web pages development,"$462
                                (Avg Bid)","Looking to hire an ...React/WebGL/[login to view URL] developer (R3F library or Vanilia [login to view URL] ok!) for interactive web pages development.
The candidate should have proven experience in interactive graphic animation development with [login to view URL] and WebGL.
Our technical stack is React for the front-end web pages.
We will start with the right candidate immediately!"
53,Paginas web para alojamiento turisticos y pequeños hoteles,"$563
                                (Avg Bid)","Necesitamos un diseñador web o persona con experiencia en la creacion de paginas web, seria para propiedades turisticas y pequeños hoteles con plantillas wordpress o wix."
54,Web Scraping,"$16 / hr
                                (Avg Bid)",I need to pull public data from [login to view URL] into a spreadsheet.  I need all Actively Registered entries and to pull certain data points from the site.  This is step one in a multiple step process.
55,Data entry and scraping,"$2 / hr
                                (Avg Bid)","I need to extract data & leads for some names, address, City, MD/CEO name, MD/CEO mail id, phone number and website. Further details will be provided on chats. NOTE: Please make sure that you're available & willing to appear for a sample test for the project. 50 leads will be asked to scraped prior awarding. It's a long term project with weekly remunerations. Experienced freelanc..."
56,Private project or contest #30089099,,Please Sign Up or Login to see details.
57,WordPress - LCP Fix - Pass: Google Core Web Vitals - Optimization,"$20 / hr
                                (Avg Bid)","...which will include the Core Web Vitals is expected to launch mid-June of this year. This is expected to have a significant impact on websites ranking and their metrics.

Google defines ""Page Experience"" as a mix between ""Core Web Vitals"" and ""Mobile Usability"" statistics. The site in question is currently passing DESKTOP ""Core Web Vitals&q..."
58,Looking for Web developer,"$471
                                (Avg Bid)","Hi, I am looking for web developer who has great experience in web development for ongoing project. You should  be able to start immediately. Happy bidding!"
59,System for editing and saving full web articles.,"$1575
                                (Avg Bid)",...input full url address of article. System will load this article and user will be able to interact with this article because all web page have cookie window which user must confirm before entering web page also some news web sites have button for expanding for full article therefore our system must be able to click on these button and confirm this click
60,Web Expert with Rust skills - Want to start immediately(India/Pakistan),"$1116
                                (Avg Bid)","We are seeking a skilled Rust developer who can assist in the development of an ongoing project.
Must have the following knowledge/experience with
- MySQL
- Curl
- Rust
- frontend development

Want to start immediately. This will be an ongoing-based contract and all tasks will be proceed based on a milestone."
61,I am looking a senior Woocommerce developer.,"$20 / hr
                                (Avg Bid)","...years ahead.
What we need is a collaborator that can fulfill a role with us.
RESPONSIBILITIES:

• Managing, developing and maintaining our company and eCommerce web sites
• Develop new web sites, including landing sites/campaign sites
• Identify, initiate, integrate and deploy online marketing tools
• Suggest necessary improvements and upgrades (speed"
62,Web designing,"$1979
                                (Avg Bid)","Hello everyone,am looking for a good and trustworthy freelancer who can design a web for music."
63,show some columns and hide some columns asp.net vb web application,"$24
                                (Avg Bid)",the work will be done through TeamViewer thanks
64,deploying ML NLP model based on Bert (scibert),"$292
                                (Avg Bid)","I already have a code and a working model - it runs locally - but i'd like to make it into a web application - I have flask files to work on heroku - however Heroku cannot host 1.2 gig Bert (its a scibert - can't do [login to view URL]). I have tried s3 bucket.

The ml project is creating highlights from science papers. It is made out of sci bert.

Deliverables"
65,Data Extracting or scraping,"$256
                                (Avg Bid)",Need someone to extract the data
66,I am looking for expert with Scraping and AWS,$30 - $250,"I am just looking for ONLY expert in AWS and scraping.
please post bid if you are real expert and discuss in detail over chat."
67,qa tester for web and app,"$275
                                (Avg Bid)",we are looking QA for our website and application.
68,ASP MVC Dating Web Application,"$808
                                (Avg Bid)","...requirements carefully before bidding. I am only looking for serious bidders. High level requirements are below but more specific requirements are in the attachment.

I need a dating web application that is similar to match.com. I need all the features from that site such as (but not limited to these features only):

1. Account Management (Registration, Forgot"
69,Create a Logo,"$10
                                (Avg Bid)","I am looking for a logo for my business: Hussain Technologies. I provide software and web development services. Please create an appealing and beautiful logo. Logo should not be a simple business name written. It should be creative. Color scheme should be the same as of the current Digeco logo on my website ([login to view URL]). 
Logo file sizes:
Colored"
70,Design a web font (single letter) that can be used in game,"$28
                                (Avg Bid)","I would like a letter in a custom font that can be used online. If you visit this webstie [login to view URL] you will see that you can get fancy fonts for any given letter, I would like one custom made for me (just a letter) but I must be able to use it online."
71,Data Entry & scraping task,"$2 / hr
                                (Avg Bid)","I need to extract data & leads for some names, address, City, MD/CEO name, MD/CEO mail id, phone number and website. Further details will be provided on chats.

NOTE: Please make sure that you're available & willing to appear for a sample test for the project. 50 leads will be asked to scraped prior awarding. 
It's a long term project with weekly remunerations. Experienced freela..."
72,LCP &  CLS Fix and Pass Google Core Web Vitals,$8 - $20,Seeking for Expert Web Developer to fix Core Web Vitals Google Update which come recently and pass google page speedcore web vitals test such as LCP & CLS.
73,re-build web site,"$1104
                                (Avg Bid)",we sell industrial replacement knives and cutters made in Germany.  knives used in printing and packaging.  in business 36 years.  old web sire needs to be replaces.
74,Web search/data entry work for company diversity data collection,"$18 / hr
                                (Avg Bid)","You will be responsible for collecting board member/executive diversity data, overall workforce representation data, diversity program data, diversity partner data, and diversity pledge data for 160 financial services companies and entering them into an excel template. Your data will contribute to assessing Diversity, Equity and Inclusion (DEI) efforts being made in the financial industry."
75,Bet365 live odds scraping with Selenium  Web Driver + Java,"$190
                                (Avg Bid)","I need a java program for scraping odds from bet365 live events (the list of all events can be found at [login to view URL]
 I need to enter each event and take the odds). The technology to use is the Selenium library for Java"
76,Web application for discount cards in Passbook and Wallet -- 2,"$1221
                                (Avg Bid)","Software required to create, distribute, modify and manage e-loyalty cards for Passbook (iOS Apple) and Wallet (Android) apps.

Required functionality:
1. User registration
2. Registration of cards in Passbook and Wallet services for the user
3. Administration of the issued cards list
4. Updating cards data
5. Adding custom fields and displaying on the card
6. Sending PUSH notifications"
77,Implement 4 front end web pages,"$185
                                (Avg Bid)","We need to have 4 web pages implemented in HTML, CSS and javascript/jQuery.
You can find attached the JPG version of the pages with functionality explained."
78,Need a tech lead for web app project,"$321
                                (Avg Bid)","I am looking for a tech lead for a web app project  (long term, based out of India) . Experience in web design, JS frameworks, JS charting libraries (good to have) is required. Python experience is good to have. You will lead the tech side of project from the ground up, with occasional assistance from me as and when needed. Monthly compensation and"
79,Web Content---Native USA writers only,"$70
                                (Avg Bid)","We are looking for native USA content writer who can write web content for our moving site. Writer must have engaging writing skill. Our rate is fixed $15/500 words. Only Bid if you agree with the rates. We will discuss more project in detail with a selected bidder..

Thank you"
80,I am developing a native mobile app and a web app for a project. Need a resource that has experience in developing applications in mendix as well as experience in setting up Mendix on-premise.,"$150
                                (Avg Bid)",Need help troubleshooting the app and setting up mendix on-premise
81,Web and Mobile UI Designer,"$223
                                (Avg Bid)","...We are looking for top class UI/UX designer for our product. We have existing UI. We need to improve the UI in latest trends with global standard.

You must experience with web Admin UI  and Mobile UI

We need to design following pages 
Login 
Register
Dashboard
Order Management
Customer Management
Form page
Setting page
Profile page
CMS page
Report"
82,MS Project Online and Power Bi Integration,"$1523
                                (Avg Bid)","This is resource Management task, using Project online (Ms project web version) with Power BI"
83,Web Designer/ Digital Marketing,"$105
                                (Avg Bid)","I am looking web designer having very good knowledge of .Net Wordpress, HTML, JS. Its contact basis work. I prefer a good experience consultant."
84,create scraper for yelp,"$178
                                (Avg Bid)","I need python scraper for yelp, using Yelp api or any other way (like ip rotation).. 
Scraping based on search query. 
Return businesses details, and customers comments, and (pictures by customers if possible).
The code should return the whole number of search results, not part of it.
Data scraped need to be stored in csv or json.
Please type ""yelp"""
85,Web Development Task,"$52
                                (Avg Bid)",Web Development Task need to be [login to view URL] files are attached.
86,web content writer Needed in Swedish,"$65
                                (Avg Bid)","Writing content for a photography website in Swedish.
need a familiar person with Swedish culture and business .
familiar with SEO. Creative person. Familiar with media business."
87,we need a web designer needed in our company,"$3986
                                (Avg Bid)",web designer needed to design from scratch our company website that will consist all our product display. I will like our website fancy and colorful but not too expensive. I want the website to be ready within 5weeks and i will gladly receive any quote with a shorter finishing time line.
88,Web and graphic design,"$107
                                (Avg Bid)","We have some websites and graphic to be done as catalog and flyer, also no of website.
we need some regular freelancer individual, who can support us anytime to finish it without making excuses.
kindly let us know if you individually handle both projects, and how much charge you take"
89,WEB DEVELOPER,"$370
                                (Avg Bid)",I am looking for a web developer who can work with websites.
90,extract POI from OSM / Leaflet map,"$247
                                (Avg Bid)","...that shows this map in a subframe and lists the POI in another window depending what part / view of the map I have chosen (see image 2).

Please bid only if you have done scraping website data before, if you have been working with OSM and know what you are doing. Please ask for the link to the website that needs to be accessed. And tell me how much"
91,Telegram Group Scrapping And Adding Website  -- 2,"$115
                                (Avg Bid)","I need telegram scrapper and adding script where someone can scrap and add unlimited members to any telegram group without delays. It will have a log...person adding can switch from different numbers and api once any gets blocked.

Attached is a picture of a software that does such but I need a website that will the the exact scraping and adding work."
92,API integration on WordPress Website,"$33 / hr
                                (Avg Bid)","Web development work required for API integration on WordPress Website.
API detail is here
[login to view URL]"
93,Translate Web-novel (Web fiction) from Korean to English,"$5485
                                (Avg Bid)","We are looking for experienced Korean to English Web-novel (Web fiction) translators.
Thank you in advance for your interest in this project!

Source language: Korean
Target language: English

Work type: Korean Web-novels (Web fiction)
Quantity: 90,000 - 140,000 words per series
Volume: 6 - 9 series
Required number of translators: 6 - 9

Minimum fee:"
94,"Website for booking service, web development using python and Java script, iOS and Android Apps -- 3","$741
                                (Avg Bid)","Looking for a developer in Python (py), SQL and JavaScript (js).
One must have availability to work extra hours and weekends.
I need a web and mobile developer. Must be experience in this field. Ability to work during Australian TimeZone. 
This website is for chauffeur and limousine [login to view URL] will have online booking and payment platform.
Must"
95,telegram messages managed by web dashboard,"$2974
                                (Avg Bid)","PURPOSE
• I would like to send text messages with a web dashboard that may contain photos, videos, links, etc., to be delivered to mobile phones via Telegram Bot (or equivalent) and also to be published on a web page of an existing site.
• messages and contents must be kept in order to be re-edited and sent if necessary
• messages can be sent instantly"
96,Web Administrator,"$4 / hr
                                (Avg Bid)","Hi,

I am looking for Web Administrator working for part time (weekly 10-20 hrs.) to manage, enhance, integrate existing  web modules, configure it for positive SEO & SMO result. 

There is a need to work with WordPress which is a main page,  integrated with Jooma which act as a back end content management system. There are 2-3 other php modules that"
97,Build me an mobile app and web and kiosk app,"$3 / hr
                                (Avg Bid)","Hi can you please text [Removed by Freelancer.com] so that we can discuss our project details in depth. we are in need of a fitness app which works on android, kiosk and ios"
98,Cyber Security Professional,"$181
                                (Avg Bid)","Hi There,

I am looking for Cyber Security expert in: Web Applications Security, Penetration Testing, Software Security, Malware Removal, Digital Forensics, System Administration: Linux/Unix-like systems, MS Windows servers , Web Development: HTML, PHP, Laravel , CSS, JavaScript, CMS (WordPress, Joomla, Drupal, Shopify), NodeJS, etc. , Virtualizati"
99,Web Security/ Information Security/ Encryption/Decryption related Project,"$42 / hr
                                (Avg Bid)","I need to hire an expert who has a sound knowledge of Computer Science, Java, Software Engineering, JSON and web security. 


If you have a Masters in Computer Science of relevant field it would be appreciated. The job is an academic task and needs someone who has a few publications or has at least an idea of Harvard Referencing styles."
100,UP GRADE MY WEB SITE,"$337
                                (Avg Bid)","need website upgraded adding in a shopping chart
We are a stubby holder manufacturer established for 30 plus years"
101,"I need Technical Consultant - .net, sql, web api","$10697
                                (Avg Bid)","...reliability, and performance. 
•	Debugging API issues by taking SQL Trace & fix the root cause of the issue in .Net / TSQL
•	Development of Integration touch points using API / Web services
•	Would require to learn in-house development tools for development of APIs
•	Profile server resource usage and optimize and tweak as necessary
•	Prepare documentations"
102,Design a responsive one web page.,"$67
                                (Avg Bid)","...custom html page.

I have domain and hosting. 

Page is for very small company. Company offers variety of information technology services. Services examples : SEO/SEO, Web development, Web application development, Android/iOS development, GPS related applications, Graphix design, Video editing. 

User can choose 2 language options. 

Pls if you have page"
103,web development,"$283
                                (Avg Bid)",build a website for business purpose
104,i need a SIH PROJECT NATIONAL WEB PORTAL IS USED FOR DESIGNING JOB ORIENTED COURSES WITH THE HELP OF HUMAN RESOURCES DATA AND DESIRABLE SKILL,"$94
                                (Avg Bid)",i need documention and execution
105,E-commerce Web Development,"$19 / hr
                                (Avg Bid)","I am planning to start a dropshipping e-commerce business to sell T-shirts, Posters and that kind of stuff online. I need someone who can develop a website using technologies like Magento and can provide me with the end result by developing the website, creating the designs for shirts and everything and uploading them on the website.
I need the end product totally built.
Indians who have a sense o..."
106,Develop music player web app (responsive),"$1277
                                (Avg Bid)","Looking for a web developer to create an application that streams music, ideally using java and a responsive frontend.

Would also like to add a commenting feature perhaps using firebase. Very important that the web app is responsive, working smoothly on desktop and mobile, please send examples of your work in this regard.

 All specs and designs will"
107,Creating a web and mobile app,"$409
                                (Avg Bid)",Trying to develop mobile and web app using React js and React Native
108,web push notification,"$118
                                (Avg Bid)",I have a wordpress site that using a plugin called eform that has a webhook function.  I want to have the webhook send a push notification to google firebase(cloud).  I will only need to send to one ios device exclusively.  Further details.  When someone walks into the store they fill out the form.  Upon completing of filling out the form the receptionist will receive a push notification that they...
109,U web media,$27 - $27,Website designerpackage design er
110,Project for U Web Media,"$27
                                (Avg Bid)",Web design. Website development content [login to view URL] Media marketing
111,AMAZON WEB SCRAPER WITH ROTATING IP - PYTHON,"$149
                                (Avg Bid)","Hi I would like to build a amazon web scraper using PYTHON which rotates the IP every couple of minute so that all amazon pages are scraped correctly without getting a Captcha.

Current situation: I scraped approximately 5000 amazon product information using [login to view URL] chrome extension on a daily basis. Many of the product information is not scrapped"
112,UI/UX Web/Graphic Designer,"$18 / hr
                                (Avg Bid)","...is a website and web application development company in Atlanta. We've had the opportunity to work with some great companies on some really fun projects. You can learn more about us at http://www.codeconspirators.com.

We are looking for a UI/UX Designer with demonstrated knowledge and experience in producing designs for use in web environments and"
113,Website development,"$162
                                (Avg Bid)",I am looking a web developer to maintain an website for me. Some sample websites address I am listing here and full working of these websites can be explained in details.
114,Web cam model needed for Happy Hour on CAM4,"$27 / hr
                                (Avg Bid)",I have a happy hour booked this friday at 5:30PM on my couples account on the big streaming simulcast co. My co star and long time girlfriend had to leave abruptly for a family emergency and she gave me the green light to hire her replacement. Recently tested std free and am vaxed for cov19. If you have any reservations on privacy you can wear a mask and or we will block out the stream from exact ...
115,looking for someone expert on web application & services and can solve the attached past paper exam.,"$212
                                (Avg Bid)","looking for someone expert on these topics and can solve the attached past p...
Servlet 
JavaServer Faces (JSF)
 Enterprise Java Beans (EJB) & Java Persistence API (JPA)
 Java EE Security 
Transactions with Java EE 
Distributed Systems - RPC - Thrift 
Web Services - SOAP and REST 
Time in Distributed Systems 
Election Algorithms in Distributed Systems"
116,Realizzazione sito web con Wordpress,"$219
                                (Avg Bid)","Io devo realizzare un sito web con WP, piuttosto semplice. 
5 pagine, con l aggiunta di widget classici, con realizzazione di un semplice template personalizzato.
Posseggo già dominio e spazio web. Fornisco foto, e testi.
Gradito portafoglio lavori precedenti.


I have to make a website with WP, quite simple.
5 pages, with the addition of classic widgets"
117,Design and development of a web page,"$459
                                (Avg Bid)","We are looking for a web designer, who gives us creative proposals in the development of a Darmony Brand page, the goal of this page is to inform, but in the future we are looking to make it an E-Commerce, we also have the objective of starting with Amazon Brand Registry process, so we want a well-structured page where you can visualize the entire product"
118,web appliation,"$87
                                (Avg Bid)",building web application creating clusters and creating databases using python coding and also maven or anything else for deployment
119,Looking for US web developer for ongoing opportunity,"$462
                                (Avg Bid)","Hello, I am looking for US guy who can work on great project for next months, you need to be able to start asap and have web development experience. Thanks."
120,Need expert web developer who will help me design my complete Shopify website  in 7 days,"$565
                                (Avg Bid)",I Need an expert web developer who will help me design my complete Shopify website  in 7 days with full functionalities and be active on the Google search page.
121,Expo + Storybook setup,"$21
                                (Avg Bid)","Very simple, I want an empty project using Expo + TS + Storybook.
The project should run on android (emulator) + web"
122,Master Designer who can weave magic into web pages and graphic designs,"$11 / hr
                                (Avg Bid)","We are looking for a multi-talented designer that is strong with UI/UX web design experience and any graphic design tasks that also may be required.  We have just completed a full re-build of a very large website that is close to launching in the AU market initially, then expanding into the USA.  We do not need a developer, our site has been under construction"
123,web site help,"$23
                                (Avg Bid)",need help and  support  to properly install plug in in c panel website.
124,Meowtel.com - Full-Stack Web Developer - Full-time position,"$20 / hr
                                (Avg Bid)","We are a cat sitting app in the U.S.

We are looking for the purr-fect Full-stack Web Developer to join our team.

We are a small, dedicated team based across Mexico and the U.S., with a do-er mentality but more importantly... we love cats!

Technologies used:

- PHP 7.4 (and currently transitioning to PHP 8.x) for the backend
- NodeJS (and currently"
125,Ecommerce Web Site Implementation,"$593
                                (Avg Bid)","...of three areas; ecommerce website setup, theme design and development and web services implementation.
 
You must have experience with implementing Magento platform, Progressive Web Apps (PWA) combined with Accelerated Mobile Pages (AMP) theme design and development and, web services with knowledge in SOAP or REST implementation. 

I will review proposed"
126,Build us a fintech like revolut or N26 iOS/Android/Back Office,"$34128
                                (Avg Bid)","-Neo Banking Web/App with account management

-Like Revolut/N26

- p2p payment/iban transfers

-With a enterprise app store

-We have PSD, JPG files ready for you

We need first a click flow prototype /1 web, 1 app, 1 back office - account management /

something that looks like this, but we will clarify everything

so what is important is that the"
127,Build a Python RESTfull Web service.,"$546
                                (Avg Bid)","Hello,

 I'm looking for a Python expert to build a light Python REST Web services (Web API) with Python.

Web Service will accept and respond with JSON.

Client’s requests will be standards ones:

1)	POST :  to insert new records in database
2)	PUT :  to update existing data
3)	GET  : to retrieve data from DB

Processing will by essentially: insert"
128,Online News App (web and mobile),"$131
                                (Avg Bid)",I need a responsive website. I would like it designed and built.
129,Design a logo for web development agency,"$20
                                (Avg Bid)","I need a logo designed for my software house. Company name is Developers House.
It is an IT company providing websites and mobile apps."
130,Small feature fixes and updates on a web app,"$183
                                (Avg Bid)","We have the majority of the app developed, but need some support making small adjustments and doing final polishing.

Deliverables
Completed tasks based in web app features"
